,Name,Company,Salary
0,Data Visualization Engineer, EtQ,$89k-$154k
1,"Director, Data Scientist – Visualization, Novartis AI Innovation Lab", Novartis,$128k-$208k
2,AI & Data - Data Analytics and Insights Lead, Bose,$50k-$95k
