tweetId,twitterUserId,content,favoriteCount,createdTime
1253700082722959360,1086037534176473088,"RT @SarahNRodriquez: You made it to another Friday!! I have some exciting options for you next week:

1. The illustrious return of @DataDum…",0,2020-04-24 14:59:26
1253558424484208640,1086037534176473088,RT @CPPRMedia: Seen a lot of maps lately? COVID-19 has perhaps become the most widely visualized crisis in the history of infographics. CPP…,0,2020-04-24 05:36:33
1253365768328220678,1086037534176473088,"Ed Hawkins’s classic ""Warming Stripes"" visualization is reminiscent of an abstract painting style that emerged in the ’50s and ’60s in which color and simplicity is everything. #EarthDay #Dataviz @AllisonCMeier:

https://t.co/kaVnnIlCkP",3,2020-04-23 16:51:00
1253360281092345857,1086037534176473088,"""Celebrating #EarthDay doesn’t have to be divorced from taking into account the pressing global issues we’re facing today. In fact, they are uniquely intertwined. And information design can make a difference in both cases.""

@ripley_cleghorn: https://t.co/zqppf5Qrqr",2,2020-04-23 16:29:11
1253352831496617984,1086037534176473088,"RT @DataRemixed: It's been hard not to engage in ""#Dataviz Rubbernecking"" these past few months. I've been collecting #COVID19 line charts…",0,2020-04-23 15:59:35
1253132794126929921,1086037534176473088,RT @xmacex: Gosh the @DataVizSociety Nightingale magazine is a treasure trove that just keeps on giving. I have a weekly recurring todo ite…,0,2020-04-23 01:25:14
1253132666204897280,1086037534176473088,RT @kennethfield: Really enjoyable @DataVizSociety discussion on thematic mapping w/ @mzdraper and @Elijah_Meeks just now. Moderator @Alber…,0,2020-04-23 01:24:44
1253132611657977856,1086037534176473088,"@JulienAssouline @kennethfield @mzdraper @Elijah_Meeks @AlbertoCairo @domlet Yes and we’ll be posting it to our YouTube channel tomorrow:
https://t.co/bDIwGVeoQL",4,2020-04-23 01:24:31
1253132322028699648,1086037534176473088,"@adamdsteer @AlbertoCairo @mzdraper @kennethfield @Elijah_Meeks Yes! It will be posted on our YouTube channel tomorrow:
https://t.co/bDIwGVeoQL",9,2020-04-23 01:23:22
1253132005090316288,1086037534176473088,"@MatchewB @AlbertoCairo @mzdraper @kennethfield @Elijah_Meeks It was and will be on our YouTube channel probably tomorrow:
https://t.co/bDIwGVeoQL",2,2020-04-23 01:22:06
1252990547666575360,1086037534176473088,"Celebrate #EarthDay with six iconic environmental data visualizations, including climate spirals, hockey sticks, and … squirrels? #dataviz #EarthDay2020 

@jazzmyth: https://t.co/w8eAa7aZKl",16,2020-04-22 16:00:00
1252982996879028230,1086037534176473088,".@fedfragapane writes about the process of designing data visualizations for children in her book 'Planet Earth: Infographics for Discovering Our World.’ #Datavisualization #EarthDay #EarthDay50 

https://t.co/IzLdDVN3dm",14,2020-04-22 15:30:00
1252981591791419392,1086037534176473088,"A reminder that today at 1PM PDT we are hosting a great conversation about making maps, hosted by @AlbertoCairo and featuring @mzdraper, @kennethfield &amp; @Elijah_Meeks. Join us for this live panel, the latest in our fireside chat series!
https://t.co/GzlTZnP3mw",25,2020-04-22 15:24:25
1252980225190752262,1086037534176473088,Keep up with all of the articles for #NightingaleEarthWeek here https://t.co/7cxcjoiUA4,1,2020-04-22 15:18:59
1252979221502124035,1086037534176473088,"On #EarthDay, it’s a good time to revisit the iconic photograph from 30 years ago and the man who made it famous. Happy ""Pale Blue Dot"" day! @irlington: 

https://t.co/5alExrdNbe",2,2020-04-22 15:15:00
1252970557156536320,1086037534176473088,Happy #EarthDay ! What is your favorite environmental or earth-related #DataVisualization?,5,2020-04-22 14:40:34
1252657350306983937,1086037534176473088,"What’s the story of energy production in the U.S.? Well, that depends on where you are. #NightingaleEarthWeek @ClaireESantoro:

https://t.co/CvDaLHo5n8",4,2020-04-21 17:56:00
1252652290361753604,1086037534176473088,"Physical data helps us come to terms with the interlocking environmental crises we face. Can it make us more likely to do something about them? @MiriamQuick: 

https://t.co/qc6VfOQEdi",13,2020-04-21 17:35:53
1252238842708590597,1086037534176473088,"In a special Earth Week installment of “Re-Viz-ited,” @rachaeldottle tries to turn this Axios volcano #datavisualization from dormant to active:

https://t.co/m7b7govGcm",9,2020-04-20 14:13:00
1252231200028180481,1086037534176473088,"Welcome to Earth Week! To start us off, @duncangeere wrote about planetary boundaries, essentially a dashboard for the health of the entire planet. On the influential graphic’s history and how it might help us chart a sustainable way forward:

https://t.co/NJ2sJJzZCE",21,2020-04-20 13:42:38
