"Name","Company","State","City","Salary","Location","Url"
"Data Visualization Consultant"," The Ashlar Group","NY","Long Island City","$52k-$92k","Long Island City, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=961248&s=58&guid=00000171a4bfbc1883e6b9f663d9f5bf&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_807ccac2&cb=1587606961662&jobListingId=3549232790"
"Quantitative Analyst"," Cboe Global Markets","NY","New York","$79k-$121k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=949479&s=58&guid=00000171a4bfbc1883e6b9f663d9f5bf&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_a93a87f6&cb=1587606961663&jobListingId=3544917131"
"eCom Marketing Analytics Manager"," PepsiCo","NY","New York","$74k-$116k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=874383&s=58&guid=00000171a4bfbc1883e6b9f663d9f5bf&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_49fbfa00&cb=1587606961664&jobListingId=3551036054"
"Sr. Data Scientist II"," Argo Group US","NY","New York","$123k-$147k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=923898&s=58&guid=00000171a4bfbc1883e6b9f663d9f5bf&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_3ec0a293&cb=1587606961665&jobListingId=3522925828"
"Data Analyst"," FanDuel","NJ","Jersey City","$75k-$85k","Jersey City, NJ","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=935948&s=58&guid=00000171a4bfbc1883e6b9f663d9f5bf&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_0cd02227&cb=1587606961666&jobListingId=3487995959"
"Visual Designer - Dashboarding and Data Visualization"," Aquent","NY","New York","","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=907370&s=58&guid=00000171a4bfbc1883e6b9f663d9f5bf&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_e8ddcb1a&cb=1587606961667&jobListingId=3553323010"
"Retention Marketing Associate"," Elysium Health","NY","New York","","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=852836&s=58&guid=00000171a4bfbc1883e6b9f663d9f5bf&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_77cd0050&cb=1587606961668&jobListingId=3185663613"
"Data Scientist"," Point72","NY","New York","$121k-$147k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=845967&s=58&guid=00000171a4bfbc1883e6b9f663d9f5bf&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_c7e31b8a&cb=1587606961669&jobListingId=3430025292"
"Business/Data Analyst (FP&A)"," Two Sigma","NY","New York","$62k-$113k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=843735&s=58&guid=00000171a4bfbc1883e6b9f663d9f5bf&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_acc94b20&cb=1587606961670&jobListingId=3510694241"
"Coordinator, Content Creation"," Major League Baseball","NY","New York","$49k-$54k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=305333&s=58&guid=00000171a4bfbc1883e6b9f663d9f5bf&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_2384a1bc&cb=1587606961671&jobListingId=3484062428"
"Data Analyst"," DRB Capital","NJ","Cresskill","$59k-$77k","Cresskill, NJ","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=902970&s=58&guid=00000171a4bfbc1883e6b9f663d9f5bf&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_051368b1&cb=1587606961672&jobListingId=3459531452"
"Director of UX"," SecurityScorecard","NY","New York","$108k-$153k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=852330&s=58&guid=00000171a4bfbc1883e6b9f663d9f5bf&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_034424bc&cb=1587606961673&jobListingId=3548929058"
"Data Engineer, Digital & Comp Pathology"," Paige","NY","New York","$90k-$121k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=934941&s=58&guid=00000171a4bfbc1883e6b9f663d9f5bf&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_daef6102&cb=1587606961674&jobListingId=3436334086"
