"Name","Company","State","City","Salary","Location","Url"
"Report Developer"," VIVA USA INC","PA","Pittsburgh","$39k-$83k","Pittsburgh, PA","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=735551&s=58&guid=00000171a4c31bfcbf6bdd0aacce4820&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_c8eab89a&cb=1587607182771&jobListingId=3558964445"
"Technical Solutions Consultant, Subscribe with Google"," Google","PA","Pittsburgh","","Pittsburgh, PA","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=37049&s=58&guid=00000171a4c31bfcbf6bdd0aacce4820&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_5c631077&cb=1587607182772&jobListingId=3559912134"
"Entry Level Data Analyst (STEM)"," PCS Global Tech","PA","Pittsburgh","$27k-$47k","Pittsburgh, PA","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=389273&s=58&guid=00000171a4c31bfcbf6bdd0aacce4820&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_3018999a&cb=1587607182773&jobListingId=3540238149"
"Data Analyst"," Creative Financial Staffing","PA","Pittsburgh","","Pittsburgh, PA","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=405584&s=58&guid=00000171a4c31bfcbf6bdd0aacce4820&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_de1d2c4d&cb=1587607182774&jobListingId=3000613386"
"Data Analyst"," Seen by Indeed","PA","Pittsburgh","$41k-$61k","Pittsburgh, PA","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=437636&s=58&guid=00000171a4c31bfcbf6bdd0aacce4820&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_ba2cf7fd&cb=1587607182775&jobListingId=3540866962"
"Data Specialist"," Federated Investors","PA","Pittsburgh","$42k-$49k","Pittsburgh, PA","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=961248&s=58&guid=00000171a4c31bfcbf6bdd0aacce4820&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_99e8ca9a&cb=1587607182776&jobListingId=3525225555"
"Operations Analytics Specialist I"," Duquesne Light","PA","Pittsburgh","","Pittsburgh, PA","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=4127&s=58&guid=00000171a4c31bfcbf6bdd0aacce4820&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_c90f7ae2&cb=1587607182777&jobListingId=3488692374"
"People Data Analyst (Workday)"," Alcoa USA Group","PA","Pittsburgh","$40k-$64k","Pittsburgh, PA","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=37049&s=58&guid=00000171a4c31bfcbf6bdd0aacce4820&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_95ef2df3&cb=1587607182778&jobListingId=3550068182"
"data scientist"," Cognistx","PA","Pittsburgh","$59k-$77k","Pittsburgh, PA","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=4120&s=58&guid=00000171a4c31bfcbf6bdd0aacce4820&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_2e160b01&cb=1587607182779&jobListingId=3481060860"
"Assistant/Associate Professor"," University of Pittsburgh","PA","Pittsburgh","","Pittsburgh, PA","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=3839&s=58&guid=00000171a4c31bfcbf6bdd0aacce4820&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_736cd8c6&cb=1587607182780&jobListingId=3116578292"
"Operations Analytics Associate"," Duquesne Light","PA","Pittsburgh","","Pittsburgh, PA","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=4127&s=58&guid=00000171a4c31bfcbf6bdd0aacce4820&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_2c7b6fa6&cb=1587607182781&jobListingId=3493996510"
"Tableau Developer"," Ampcus Inc","PA","Pittsburgh","$60k-$100k","Pittsburgh, PA","https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=735551&s=58&guid=00000171a4c31bfcbf6bdd0aacce4820&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_ec0f062b&cb=1587607182781&jobListingId=3558661660"
"Machine Learning Engineer, Prediction"," Argo AI","PA","Pittsburgh","$132k-$171k","Pittsburgh, PA","https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=8095&s=58&guid=00000171a4c31bfcbf6bdd0aacce4820&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_b74b0ad3&cb=1587607182783&jobListingId=3503707011"
"DATA SCIENTIST / MACHINE LEARNING ENGINEER"," Aspinity","PA","Pittsburgh","","Pittsburgh, PA","https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=352789&s=58&guid=00000171a4c31bfcbf6bdd0aacce4820&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_e4d4b6f6&cb=1587607182784&jobListingId=3556738580"
